"fuente";"columna";"valores_distintos_en_fuente";"valor";"observaciones"
GEIH;CATEGORY;599;"3514";245
GEIH;CATEGORY;599;"3521";835
GEIH;CATEGORY;599;"3522";732
GEIH;CATEGORY;599;"36";8447
EXPORTACIONES;CATEGORY;341;"37";382
GEIH;CATEGORY;599;"37";5926
EXPORTACIONES;CATEGORY;341;"38";540
GEIH;CATEGORY;599;"38";8684
EXPORTACIONES;CATEGORY;341;"39";370
GEIH;CATEGORY;599;"39";5627
EMICRON;CATEGORY;194;"3_A_MENOS_5";2742
EXPORTACIONES;CATEGORY;341;"4";1114
GEIH;CATEGORY;599;"4";41364
EXPORTACIONES;CATEGORY;341;"40";348
GEIH;CATEGORY;599;"40";6113
EXPORTACIONES;CATEGORY;341;"401";372
EXPORTACIONES;CATEGORY;341;"402";368
EXPORTACIONES;CATEGORY;341;"403";210
EXPORTACIONES;CATEGORY;341;"41";372
GEIH;CATEGORY;599;"41";12310
GEIH;CATEGORY;599;"4110";2484
GEIH;CATEGORY;599;"4111";8
GEIH;CATEGORY;599;"4120";2180
GEIH;CATEGORY;599;"4131";44
GEIH;CATEGORY;599;"4132";1207
GEIH;CATEGORY;599;"42";8066
GEIH;CATEGORY;599;"4211";1230
GEIH;CATEGORY;599;"4212";923
GEIH;CATEGORY;599;"4213";845
GEIH;CATEGORY;599;"4214";1341
GEIH;CATEGORY;599;"4221";958
GEIH;CATEGORY;599;"4222";1485
GEIH;CATEGORY;599;"4223";527
GEIH;CATEGORY;599;"4224";1260
GEIH;CATEGORY;599;"4225";1307
GEIH;CATEGORY;599;"4226";1273
GEIH;CATEGORY;599;"4227";915
GEIH;CATEGORY;599;"4229";828
GEIH;CATEGORY;599;"4244";5
GEIH;CATEGORY;599;"43";7829
GEIH;CATEGORY;599;"4311";2206
GEIH;CATEGORY;599;"4312";355
GEIH;CATEGORY;599;"4313";302
GEIH;CATEGORY;599;"4321";2291
GEIH;CATEGORY;599;"4322";242
GEIH;CATEGORY;599;"4323";1036
EXPORTACIONES;CATEGORY;341;"44";46
GEIH;CATEGORY;599;"44";4660
GEIH;CATEGORY;599;"4411";385
GEIH;CATEGORY;599;"4412";932
GEIH;CATEGORY;599;"4413";154
GEIH;CATEGORY;599;"4414";1022
GEIH;CATEGORY;599;"4415";1623
GEIH;CATEGORY;599;"4416";658
GEIH;CATEGORY;599;"4419";654
EXPORTACIONES;CATEGORY;341;"45";40
GEIH;CATEGORY;599;"45";12699
GEIH;CATEGORY;599;"4520";5
EXPORTACIONES;CATEGORY;341;"46";536
GEIH;CATEGORY;599;"46";5303
GEIH;CATEGORY;599;"4624";5
GEIH;CATEGORY;599;"4631";5
GEIH;CATEGORY;599;"47";5544
GEIH;CATEGORY;599;"4721";5
EXPORTACIONES;CATEGORY;341;"48";372
EXPORTACIONES;CATEGORY;341;"49";8
GEIH;CATEGORY;599;"49";8439
EXPORTACIONES;CATEGORY;341;"5";372
GEIH;CATEGORY;599;"5";46629
GEIH;CATEGORY;599;"50";7662
GEIH;CATEGORY;599;"51";8795
GEIH;CATEGORY;599;"5111";389
GEIH;CATEGORY;599;"5112";996
GEIH;CATEGORY;599;"5113";770
GEIH;CATEGORY;599;"5120";2440
GEIH;CATEGORY;599;"5131";2431
GEIH;CATEGORY;599;"5132";1111
GEIH;CATEGORY;599;"5141";2357
GEIH;CATEGORY;599;"5142";2347
GEIH;CATEGORY;599;"5151";818
GEIH;CATEGORY;599;"5152";538
GEIH;CATEGORY;599;"5153";773
GEIH;CATEGORY;599;"5161";423
GEIH;CATEGORY;599;"5162";89
GEIH;CATEGORY;599;"5163";370
GEIH;CATEGORY;599;"5164";1101
GEIH;CATEGORY;599;"5165";677
GEIH;CATEGORY;599;"5169";794
GEIH;CATEGORY;599;"52";8352
GEIH;CATEGORY;599;"5210";3
GEIH;CATEGORY;599;"5211";2136
GEIH;CATEGORY;599;"5212";2435
GEIH;CATEGORY;599;"5221";2467
GEIH;CATEGORY;599;"5222";1302
GEIH;CATEGORY;599;"5223";2528
